id,name,description,stock
183,MLED-5050SMD-127V/LD,"""""Manguera flexible 60 LEDs x metro, 5050 SMD, exterior 25 m""",1315
184,MLED-5050SMD-127V-10M/BC,"""""Manguera flexible 60 LEDs x metro, 5050 SMD, exterior 10 m""",604
185,MLED-5050SMD-127V-10M/LD,"""""Manguera flexible 60 LEDs x metro, 5050 SMD, exterior 10 m""",422
186,MLED-5050SMD-DP-127V/LD,"""""Manguera de LED 5050 SMD Doble Pista, 127V, 144 LED/m, IP65, 25 metros, Luz de día""",1
187,MLED-5-5050SMD,Clip plástico de montaje para manguera de LED 5050 SMD,26863
188,MLED-5M-CCT-127V,"Manguera flexible 120 LEDs x metro, 2835 SMD, exterior 5 m",634
189,MLED-5M-RGB-127V,"Manguera flexible 30 LEDs x metro, 5050 SMD,  exterior 5 m",507
190,MLED-5-SMD,Clip plástico de montaje para manguera de LED SMD,24667
191,MLED-60-1,Cable c/doble conector de presión para tiras 3528 SMD,11364
192,MLED-60-1-2835,Cable c/doble conector de presión para tiras 2835 SMD,6764
193,MLED-60-14.4W-5050/AZ,"""""Tira flexible 60 LEDs x metro, 5050 SMD, interior""",143
194,MLED-60-14.4W-5050/BC,"""""Tira flexible 60 LEDs x metro, 5050 SMD, interior""",3857
195,MLED-60-14.4W-5050/LD,"""""Tira flexible 60 LEDs x metro, 5050 SMD, interior""",6
196,MLED-60-14.4W-5050/RO,"""""Tira flexible 60 LEDs x metro, 5050 SMD, interior""",260
197,MLED-60-14.4W-5050/VE,"""""Tira flexible 60 LEDs x metro, 5050 SMD, interior""",206
198,MLED-60-1-5050,Cable c/doble conector de presión para tiras 5050 SMD,4890
199,MLED-60-1-RGB,Cable c/doble conector de presión para tiras RGB,1745
200,MLED-60-1-RGBW,Conector esquina para unir tiras RGBW,529
201,MLED-60-2,Cable c/conector de presión y terminación hembra para tiras 3528 SMD,1271
202,MLED-60-2-2835,Cable c/conector de presión y terminación hembra para tiras 2835 SMD,589
203,MLED-60-24W/CONTROL,Driver con salida a 12V de 24 W para contacto plug-in,518
204,MLED-60-2-5050,Cable c/conector de presión y terminación hembra para tiras 5050 SMD,493
205,MLED-60-3,"""""Cable derivador de 6 salidas para tiras 3528, 5050 y 2835 SMD""",508
206,MLED-60-4.8W-5/2500K,"""""Tira flexible 60 LEDs x metro, 2835 SMD, interior""",106
207,MLED-60-4.8W-5/AZ,"""""Tira flexible 60 LEDs x metro, 2835 SMD, interior""",433
208,MLED-60-4.8W-5/BC,"""""Tira flexible 60 LEDs x metro, 2835 SMD, interior""",8882
209,MLED-60-4.8W-5/LD,"""""Tira flexible 60 LEDs x metro, 2835 SMD, interior""",4377
210,MLED-60-4.8W-5/RO,"""""Tira flexible 60 LEDs x metro, 2835 SMD, interior""",378
211,MLED-60-4.8W-5/VE,"""""Tira flexible 60 LEDs x metro, 2835 SMD, interior""",13
212,MLED-60-4-2835,Cable c/conector de presión para tiras 2835 SMD,2339
213,MLED-60-4-3528,Cable c/conector de presión para tiras 3528 SMD,4017
214,MLED-60-4-5050,Cable c/conector de presión para tiras 5050 SMD,3652
215,MLED-60-4-RGB,Cable c/conector de presión para tiras RGB,5421
216,MLED-60-4-RGBW,Conector para tiras RGBW a driver de proyecto,62
217,MLED-60-5-2835,Conector de presión para tiras 2835 SMD,1053
218,MLED-60-5-3528,Conector de presión para tiras 3528 SMD,5459
219,MLED-60-5-5050,Conector de presión para tiras 5050 SMD,2195
220,MLED-60-5-RGB,Conector de presión para tiras RGB,977
221,MLED-60-5-RGBW,Conector medio para unir tiras RGBW,110
222,MLED-60-6WP,"Conector con terminación hembra-macho para tiras 3528, 5050, 2835 y módulos SMD",797
223,MLED-60-6WP-RGB,Conector con terminación hembra-macho para tiras RGB,921
224,MLED-60-7-KSILICON,Kit de silicón y tapones para aislar conexiones,1262
225,MLED-60-IP45-127V/AMB,Tira Flexible de LED 3528 SMD 127V IP45 Ambar,2
226,MLED-60-IP45-127V/AZ,Tira flexible de LED 3528 SMD 127V IP45 Azul,5
227,MLED-60-IP45-127V-CD/AMB,"""""Tira flexible 60 LEDs x metro, 2835 SMD 127 V, exterior""",497
228,MLED-60-IP45-127V-CD/AZ,"Tira flexible 60 LEDs x metro, 2835 SMD 127V Exterior",508
229,MLED-60-IP45-127V-CD/BC,"""""Tira flexible 60 LEDs x metro, 2835 SMD 127 V, exterior""",21274
230,MLED-60-IP45-127V-CD/BN,"Tira flexible IP45, 60 LEDs x metro, 2835 SMD, 127V, Blanco Neutro",2452
231,MLED-60-IP45-127V-CD/LD,"""""Tira flexible 60 LEDs x metro, 2835 SMD 127 V, exterior""",21637
232,MLED-60-IP45-127V-CD/RO,"""""Tira flexible 60 LEDs x metro, 2835 SMD 127 V, exterior""",193
233,MLED-60-IP45-127V-CD/VE,"""""Tira flexible 60 LEDs x metro, 2835 SMD 127 V, exterior""",248
234,MLED-60-IP45-5050-127V/AMB,Tira Flexible de LED 5050 SMD 127V IP45 Ambar,4
235,MLED-60-IP45-5050-127V-CD/2500K,"""""Tira flexible 60 LEDs x metro, 5050 SMD 127 V, exterior""",1564
236,MLED-60-IP45-5050-127V-CD/AMB,"""""Tira flexible 60 LEDs x metro, 5050 SMD 127 V, exterior""",604
237,MLED-60-IP45-5050-127V-CD/BC,"""""Tira flexible 60 LEDs x metro, 5050 SMD 127 V, exterior""",9517
238,MLED-60-IP45-5050-127V-CD/BN,"Tira flexible IP45, 60 LEDs x metro, 5050 SMD, 127V, Blanco Neutro",2995
239,MLED-60-IP45-5050-127V-CD/LD,"""""Tira flexible 60 LEDs x metro, 5050 SMD 127 V, exterior""",2919
240,MLED-60-IP68-12V/BC,"""""Tira flexible 60 LEDs x metro, 2835 SMD, sumergible""",1634
241,MLED-60-IP68-12V/LD,"""""Tira flexible 60 LEDs x metro, 2835 SMD, sumergible""",750
242,MLED-60-IP68-12V/RO,"""""Tira flexible 60 LEDs x metro, 2835 SMD, sumergible""",305
243,MLED-60-IP68-12V/VE,"""""Tira flexible 60 LEDs x metro, 2835 SMD, sumergible""",1
244,MLED-60-IP68-5050/AZ,"""""Tira flexible 60 LEDs x metro, 5050 SMD, sumergible""",1
245,MLED-60-IP68-5050/BC,"""""Tira flexible 60 LEDs x metro, 5050 SMD, sumergible""",1281
246,MLED-60-IP68-5050/LD,"""""Tira flexible 60 LEDs x metro, 5050 SMD, sumergible""",877
247,MLED-60-IP68-5050/RO,"""""Tira flexible 60 LEDs x metro, 5050 SMD, sumergible""",32
248,MLED-60-IP68-5050/VE,"""""Tira flexible 60 LEDs x metro, 5050 SMD, sumergible""",114
249,MLED-6-5050SMD,Tapa fin plástica para manguera de LED 5050 SMD,3283
250,MLED-6-SMD,Tapa fin plástica para manguera de LED SMD,2655
251,MLED-C/REMOTO-RGB,Kit Controlador para Efectos de Luz para Tiras y Módulos RGB,186
252,MLED-CONTROL-CCT-127V,Control CCT,1330
253,MLED-CONTROL-RGB-127V,Control RGBW,984
254,MLED-GF,Grapa de plástico flexible para todo tipo de tira flexible,44767
255,MLEDK-30-IP68-12V/RGB,Kit con tira flexible de LED 5050 SMD 12V IP68 RGB -KIT,39
256,MLED-NEON-1,Cable alimentador con convertidor de corriente ca-cd 127V para manguera LED NEON,1130
257,MLED-NEON-10-127V/BC,"""""Manguera flexible 72 LEDs x metro, 5050 SMD NEON, exterior 10 m""",569
258,MLED-NEON-20-127V/AZ,"""""Manguera flexible 72 LEDs x metro, 5050 SMD NEON, exterior 20 m""",6
259,MLED-NEON-20-127V/BC,"""""Manguera flexible 72 LEDs x metro, 5050 SMD NEON, exterior 20 m""",216
260,MLED-NEON-20-127V/LD,"""""Manguera flexible 72 LEDs x metro, 5050 SMD NEON, exterior 20 m""",1
261,MLED-NEON-20-127V/RO,"""""Manguera flexible 72 LEDs x metro, 5050 SMD NEON, exterior 20 m""",17
262,MLED-NEON-3,Conector medio en I para manguera LED NEON,619
263,MLED-NEON-5,Conector esquina flexible para mangura LED NEON,36
264,MLED-NEON-6,Tapa fin plástica para manguera LED NEON,191
265,MLED-NEON-7,Tubo plástico termo-contráctil 5 cm. para manguera LED NEON,2275
266,MLED-NEON-8,100cm aluminium profile,364
267,MODLED-3P-5050/BC,"""""20 módulos lineales de plástico ABS con 3 LED 5050 SMD integrados, 12V IP65 Blanco Cálido - 20 pzs""",1
268,MR16L-LED/001/30,LAMP LED MR16 6W100-240V3000K550LM,20
269,ORIZZONTE-10M,PERFIL 10M SUSPENDIDO PARA TIRA LED,17
270,ORIZZONTE-15M,PERFIL 15M SUSPENDIDO PARA TIRA LED,7
271,ORIZZONTE-5M,PERFIL 5M SUSPENDIDO PARA TIRA LED,11
272,OU2009GBCB,WALKLIGHT LED 1.5W 3000K 127-220V GRIS,13
273,PEGASI-VII-BN-BC,Luminario arbotante de tamaño corto en color blanco con iluminación blanco calido,9
274,PEGASI-VII-BN-LD,Luminario arbotante de tamaño corto en color blanco con iluminación luz de día,7
275,PEGASI-VII-CH-BC,Luminario arbotante de tamaño corto en color champagne con iluminación blanco calido,5
276,PEGASI-VII-CH-LD,Luminario arbotante de tamaño corto en color champagne con iluminación luz de día,5
277,PEGASI-VII-GR-BC,Luminario arbotante de tamaño corto en color gris con iluminación blanco calido,5
278,PEGASI-VII-GR-LD,Luminario arbotante de tamaño corto en color gris con iluminación luz de día,5
279,PEGASI-VII-MN-BC,Luminario arbotante de tamaño corto en color madera nogal con iluminación blanco calido,11
280,PEGASI-VII-MN-LD,Luminario arbotante de tamaño corto en color madera nogal con iluminación luz de día,11
281,PEGASI-VII-MO-BC,Luminario arbotante de tamaño corto en color madera obscura con iluminación blanco calido,7
282,PEGASI-VII-MO-LD,Luminario arbotante de tamaño corto en color madera obscura con iluminación luz de día,7
283,PEGASI-VII-NG-BC,Luminario arbotante de tamaño corto en color negro con iluminación blanco calido,12
284,PEGASI-VII-NG-LD,Luminario arbotante de tamaño corto en color negro con iluminación luz de día,12
285,PL-100-AL,Perfil lineal con disipador de calor y cubierta PC,4
286,PL-200-1111-3,Grapa para perfil miniatura para esquina,9
287,PL-200-1111-AL,Perfil miniatura para esquina,8
288,PL-200-13519-AL,Perfil lineal de aluminio para incrustar en enjarre con difusor,95
289,PL-200-16019-BL,Perfil lineal de aluminio empotrado en plafon con difusor,10
